游戏名,类型,开发商,发行商,价格,平台,性质,是否支持中文,历史在线峰值
Firefight,"策略,二战",Sean O'Connor,Sean O'Connor,36,PC,单人,否,9
Raceland,"竞速,休闲,独立",Leblebi Tozu Games,Leblebi Tozu Games,6,PC,单人,否,9
Choice of the Dragon,"冒险,独立,角色扮演,文字为基础",Choice of Games,Choice of Games,22,PC,单人,否,9
VThree,"动作,抢先体验,独立,竞速,跑酷,3D 平台,第一人称视角,平台游戏,快节奏,多人,单人,冒险,第一人称射击",2xMilk,2xMilk,32,PC,多人,否,9
Unpossible,"竞速,快节奏,街机,独立,动作,奔跑,休闲,单人,困难,短片,程序生成,未来,好评原声音轨,黑暗,快速反应事件,阖家,控制器,飞行,太空模拟,风格化","Acceleroto, Inc.","Acceleroto, Inc.",15,PC,单人,否,9
Javva Juice,"独立,冒险,平台游戏,二维,困难",Super Games Studio,Super Games Studio,32,PC,单人,否,9
Destroy The World,"动作,休闲,模拟,独立,血腥,暴力,角色扮演,街机",Nihad Nasupovic,none,6,PC,单人,否,9
Tiny Bubbles,"模拟,解谜,物理,休闲,独立,策略,彩色,水底",Pine Street Codeworks LLC,Pine Street Codeworks LLC,37,PC,单人,是,9
Meet the Miner - WDR VR Bergwerk,"免费,模拟,动作,冒险,虚拟现实",Aesir Interactive,Westdeutscher Rundfunk Koeln,免费,PC,单人,否,9
Patterna,"解谜,困难,独立,好评原声音轨,程序生成,关卡编辑,放松,逻辑,情境",Sebastian Sch?ner,Sebastian Sch?ner,Patterna Demo,PC,单人,是,9
Fuego!,"策略,独立,休闲,西部",radiostatic,radiostatic,21,PC,单人,否,9
Store Manager: Cellular Edition,"模拟,独立,策略",Vue Simulations,Vue Simulations,28,PC,单人,否,9
RollerForce,"动作,独立,竞速,休闲,虚拟现实",Headtrip Games llc,Headtrip Games llc,32,PC,单人,否,9
CrapsVR,"模拟,体育,策略,独立,休闲,虚拟现实",8-Bit Development,8-Bit Development,50,PC,单人,否,9
BLARP!,"独立,休闲,虚拟现实",Isaac Cohen,Isaac Cohen,15,PC,单人,否,9
Samplitude Music Studio Steam Edition,音频制作,MAGIX Software GmbH,MAGIX Software GmbH,,PC,其他,否,9
贫穷少年与校园名人的生死对决,"休闲,暴力,独立,角色扮演,模拟,策略,RPG制作大师,动漫,剧情,视觉小说,探索,日系角色扮演,二维,多结局,单人,经典,像素图形,剧情丰富,怀旧,冒险","黒い天使,XNZONE",XNZONE,6,PC,单人,是,9
Terraformer Expedition to Mars,"模拟,独立,太空,生存,火星","Vermont Software Studios,LLC","Vermont Software Studios,LLC",78,PC,单人,否,9
【SCP】器関ノ彷徨 -The will of a single Tale- 本編：第１部,"免费,模拟,冒险,视觉小说,动漫",Stoner Tomohito,GESTALT-§,免费,PC,单人,是,9
Best in Show Solitaire,"休闲,卡牌游戏,单人,放松,角色扮演",Graduate Games,Graduate Games,21,PC,单人,否,9
Mystery Case Files ?: 13th Skull ? Collector's Edition,"冒险,休闲,隐藏物体",Big Fish Games,Big Fish Games,36,PC,单人,否,9
Galaxity Beta,"独立,免费,大型多人在线,虚拟现实","MAMMOSSIX Co., Ltd.","MAMMOSSIX Co., Ltd.",免费,PC,大型多人在线,否,9
Space Needle VR ,"免费,冒险,休闲,虚拟现实,探索","Expedia Labs,Expedia,Space Needle + Chihuly Garden and Glass,WSP – Parsons Brinckerhoff of Seattle,Jaclyn Lake,Rachel Ye,Morgan Graham",Expedia,免费开玩,PC,单人,否,9
The Scent of Summer,"冒险,免费,虚拟现实,动漫",aimino,aimino,免费,PC,单人,否,9
Mortadelo y Filemón: Una aventura de cine - Edición especial,"冒险,指向 &amp; 点击,喜剧",Alcachofa Soft,Erbe Software,41,PC,单人,否,9
MEMENTO,"冒险,独立,RPG制作大师,恐怖,动漫,女性主角,好评原声音轨,鲜血,困难,像素图形,单人,二维,可爱,灵异,蒸汽朋克,多结局,控制器,原声音乐,科幻,生存恐怖",CreateLab,AGM PLAYISM,25,PC,单人,否,9
Mundus - Impossible Universe,"休闲,策略,动作,独立,三消,仅鼠标",Rumbic Studio,HH-Games,22,PC,单人,否,9
Don't Escape Trilogy,"冒险,独立,恐怖,指向 &amp; 点击,像素图形,单人,科幻,选择取向,悬疑,氛围,惊悚,剧情丰富,二维",scriptwelder,Armor Games Studios,22,PC,单人,否,9
佣兵战歌,"独立,休闲,冒险,策略,角色扮演,免费,复古,类Rogue",酷呐网络科技,酷呐网络科技,35,PC,单人,是,9
Negligee: Love Stories,"色情内容,裸露,冒险,休闲,独立,动漫,成人,视觉小说",Dharker Studio,Dharker Studios Ltd,50,PC,单人,否,9
Warlock's Tower,"独立,解谜,困难,像素图形,怀旧",Midipixel,Whippering,36,PC,单人,否,9
Scroll2Read,"抢先体验,免费,动作,独立,休闲,血腥,暴力,音乐,第三人称视角,奇幻,彩色,试验性,单人",Leckugan,Leckugan,,PC,单人,否,9
死亡投票_Death Voting Game,"策略,冒险,角色扮演,独立,视觉小说",窝窝社,PeriScope Game,免费,PC,单人,是,9
Mobile Wars X,"免费,动作,独立,休闲,清版射击",NAPE GAMES,NAPE GAMES,免费开玩,PC,单人,否,9
Hegis' Grasp: Evil Resurrected,"冒险,动作,血腥,暴力,独立,恐怖,生存,生存恐怖,好评原声音轨",Odd Branch Studio,Odd Branch Studio,免费游玩,PC,单人,否,9
灵文西游,"抢先体验,策略,冒险,独立",Winturn Games,Winturn Games,18,PC,单人,是,9
Putt-Putt: Pep's Birthday Surprise,"休闲,冒险,阖家,指向 &amp; 点击,大师级",Humongous Entertainment,"Humongous Entertainment,Nightdive Studios",28,PC,单人,否,9
Brew-Ha,"免费,模拟,动作,独立,休闲,虚拟现实",Black Banshee Studios,Black Banshee Studios,免费开玩,PC,单人,否,9
Yag,"角色扮演,独立,抢先体验",Bonjourcoco,Bonjourcoco,57,PC,其他,否,9
Destroy The World,"动作,休闲,模拟,独立,血腥,暴力,角色扮演,街机",Nihad Nasupovic,none,6,PC,单人,否,9
佣兵战歌,"独立,休闲,冒险,策略,角色扮演,免费,复古,类Rogue",酷呐网络科技,酷呐网络科技,35,PC,单人,是,9
VR Triber,"免费,虚拟现实,大型多人在线,模拟,动作,冒险,独立,体育,休闲,抢先体验,竞速",VR Triber,VR Triber,免费游玩,PC,大型多人在线,否,9
Zenith Hunter,"免费,独立,动作",Michael Seaholm,Michael Seaholm,免费,PC,单人,否,9
Rule Your School,"独立,模拟",WeersProductions,WeersProductions,15,PC,单人,否,9
Scroll2Read,"抢先体验,免费,动作,独立,休闲,血腥,暴力,音乐,第三人称视角,奇幻,彩色,试验性,单人",Leckugan,Leckugan,,PC,单人,否,9
Air Hockey,"动作,独立,休闲,体育",Standby,Standby,15,PC,单人,否,9
"Rats, Bats, and Bones","独立,策略,塔防,像素图形,怀旧,好评原声音轨",Smallfry Games,Smallfry Games,37,PC,单人,否,9
Brew-Ha,"免费,模拟,动作,独立,休闲,虚拟现实",Black Banshee Studios,Black Banshee Studios,免费开玩,PC,单人,否,9
Mobile Wars X,"免费,动作,独立,休闲,清版射击",NAPE GAMES,NAPE GAMES,免费开玩,PC,单人,否,9
Freakshow 2,"免费,独立,策略,休闲,冒险,黑暗",KevinTheWolfy,KevinTheWolfy,免费开玩,PC,单人,否,9
Tiny Bubbles,"模拟,解谜,物理,休闲,独立,策略,彩色,水底",Pine Street Codeworks LLC,Pine Street Codeworks LLC,37,PC,单人,是,9
灵文西游,"抢先体验,策略,冒险,独立",Winturn Games,Winturn Games,18,PC,单人,是,9
【SCP】器関ノ彷徨 -The will of a single Tale- 本編：第１部,"免费,模拟,冒险,视觉小说,动漫",Stoner Tomohito,GESTALT-§,免费,PC,单人,是,9
Voodoo Whisperer Curse of a Legend,"冒险,隐藏物体,指向 &amp; 点击,解谜,单人",Gogii Games,Strategy First,21,PC,单人,否,9
Techwars Online,"策略,大型多人在线,独立,动作,回合战略,战术,多人,机甲世界,单人,桌游,回合制",Argus Games,Argus Games,22,PC,大型多人在线,是,9
Mortadelo y Filemón: Una aventura de cine - Edición especial,"冒险,指向 &amp; 点击,喜剧",Alcachofa Soft,Erbe Software,41,PC,单人,否,9
The Initiate 2: The First Interviews,"独立,动作,冒险,暴力,恐怖,解谜,心理恐怖,氛围,剧情丰富,好评原声音轨,单人,悬疑,剧情,女性主角,非主流经典,动作冒险,第一人称射击",Deceptive Games Ltd.,Deceptive Games Ltd.,50,PC,单人,否,9
Frontier VR,"冒险,休闲,物理,虚拟现实",Gaugepunk Games,Gaugepunk Games,21,PC,单人,否,9
Football Mogul 15,"模拟,体育,策略,休闲","Sports Mogul, Inc.","Sports Mogul, Inc.",48,PC,单人,否,9
Alpha Version.0,"动作,独立,冒险,女性主角,像素图形,单人,2D 平台,角色定制,科幻,复古,好评原声音轨,无声主角,困难",Team Scynix,Team Scynix,41,PC,单人,否,9
Casinopia: The Blackjack,"大型多人在线,裸露,免费,策略,独立,抢先体验,休闲,虚拟现实",oneIMMERS,YJM GAMES,,PC,大型多人在线,否,9
Fear the Dark Unknown,"动作,冒险,独立,恐怖,生存恐怖,心理恐怖,女性主角",Dreamlight Games Studios SL,Dreamlight Games Studios SL,80,PC,单人,否,9
Hegis' Grasp: Evil Resurrected,"冒险,动作,血腥,暴力,独立,恐怖,生存,生存恐怖,好评原声音轨",Odd Branch Studio,Odd Branch Studio,免费游玩,PC,单人,否,9
Cars Toon: Mater's Tall Tales,"阖家,动作,竞速,冒险",Papaya Studio,Disney ,70,PC,单人,否,9
